洲系,国家,国家英文名,现有确诊,累计确诊,累计治愈,累计死亡
北美洲,美国,United States of America,19553791,63203443,42805090,844562
欧洲,法国,France,12125933,12620080,368023,126124
欧洲,英国,The United Kingdom,8125486,14767284,6491069,150729
欧洲,荷兰,Netherlands,3373902,3406969,11886,21181
亚洲,土耳其,Turkey,3284237,10119884,6751667,83980
欧洲,德国,Germany,3247493,7690632,4328400,114739
欧洲,意大利,Italy,2684524,7774863,4950780,139559
欧洲,西班牙,Spain,2667335,7592242,4834524,90383
欧洲,比利时,Belgium,2260065,2307843,19239,28539
亚洲,印度,India,2166356,35875790,33225221,484213
欧洲,瑞典,Sweden,1466889,1487291,4971,15431
欧洲,塞尔维亚,Serbia,1352696,1522813,154190,15927
南美洲,阿根廷,Argentina,1289955,6533635,5126085,117595
欧洲,瑞士,Switzerland,1241472,1571481,317600,12409
欧洲,希腊,Greece,1182741,1568215,363915,21559
欧洲,斯洛伐克,Slovakia,1129620,1401959,255300,17039
欧洲,爱尔兰,Ireland,970639,1002013,25422,5952
亚洲,哈萨克斯坦,Kazakhstan,944355,1083988,121347,18286
亚洲,伊朗,Iran (Islamic Republic of),942471,6210298,5135887,131940
大洋洲,澳大利亚,Australia,793782,1223505,427258,2465
北美洲,墨西哥,Mexico,736225,4170066,3133267,300574
欧洲,奥地利,Austria,636025,1361741,711844,13872
南美洲,巴西,Brazil,629581,22636359,21386271,620507
欧洲,俄罗斯,Russian Federation,582169,10684204,9784348,317687
欧洲,斯洛文尼亚,Slovenia,490339,498506,2027,6140
欧洲,丹麦,Denmark,483390,1006295,519497,3408
欧洲,葡萄牙,Portugal,466526,1693398,1207711,19161
欧洲,波兰,Poland,462066,4232386,3670066,100254
北美洲,加拿大,Canada,405132,2627864,2191715,31017
欧洲,挪威,Norway,370228,460530,88952,1350
亚洲,格鲁吉亚,Georgia,359380,968313,594669,14264
北美洲,波多黎各,Puerto Rico,358770,362143,0,3373
亚洲,韩国,Republic of Korea,332154,674868,336548,6166
欧洲,芬兰,Finland,305949,338615,31000,1666
亚洲,越南,Vietnam,305551,1930428,1590090,34787
欧洲,乌克兰,Ukraine,303670,3890974,3483354,103950
亚洲,约旦,Jordan,267807,1085500,804784,12909
北美洲,洪都拉斯,Honduras,247820,382440,124171,10449
亚洲,以色列,Israel,244712,1589099,1336113,8274
南美洲,玻利维亚,Bolivia (Plurinational State of),217176,697236,460004,20056
亚洲,黎巴嫩,Lebanon,185051,787498,593136,9311
亚洲,菲律宾,Philippines,171676,3026473,2802286,52511
欧洲,克罗地亚,Croatia,167254,775139,594929,12956
亚洲,伊拉克,Iraq,165390,2100518,1910908,24220
亚洲,阿塞拜疆,Azerbaijan,153027,622236,460738,8471
北美洲,哥斯达黎加,Costa Rica,151081,595795,437328,7386
南美洲,哥伦比亚,Colombia,149230,5380841,5101151,130460
欧洲,保加利亚,Bulgaria,140224,794240,622255,31761
北美洲,古巴,Cuba,132991,982614,841128,8495
非洲,南非,South Africa,131747,3534131,3309735,92649
非洲,利比亚,Libya,127780,394470,260885,5805
亚洲,塞浦路斯,Cyprus,120654,212074,90755,665
亚洲,斯里兰卡,Sri Lanka,119838,593072,458085,15149
北美洲,多米尼加,Dominican Republic,115042,469065,349768,4255
亚洲,老挝,Laos,111376,120520,8687,457
欧洲,匈牙利,Hungary,105473,1300994,1155505,40016
北美洲,危地马拉,Guatemala,102586,641164,522451,16127
欧洲,波黑,Bosnia and Herzegovina,98965,304856,192218,13673
亚洲,亚美尼亚,Armenia,96377,346224,241841,8006
欧洲,捷克,Czechia,90853,2538298,2410762,36683
亚洲,巴勒斯坦,occupied Palestinian territory,90516,473302,377793,4993
南美洲,厄瓜多尔,Ecuador,86649,564238,443883,33706
非洲,留尼旺,Réunion,85541,85960,0,419
南美洲,委内瑞拉,Venezuela,85165,447865,357339,5361
非洲,埃塞俄比亚,Ethiopia,84665,448728,356997,7066
非洲,阿尔及利亚,Algeria,81875,223196,134958,6363
