confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,highDangerCount,midDangerCount,suspectedCount,suspectedCountIncr
217,217,25,25,188,188,20200119,4,4,0,0,0,0
291,74,25,0,260,72,20200120,6,2,0,0,0,0
440,149,25,0,406,146,20200121,9,3,0,0,0,0
571,131,28,3,526,120,20200122,17,8,0,0,0,0
835,264,34,6,776,250,20200123,25,8,0,0,0,0
1297,462,38,4,1218,442,20200124,41,16,0,0,0,0
1985,688,49,11,1880,662,20200125,56,15,0,0,0,0
2762,777,51,2,2631,751,20200126,80,24,0,0,0,0
4535,1773,60,9,4369,1738,20200127,106,26,0,0,0,0
5999,1464,103,43,5764,1395,20200128,132,26,0,0,0,0
7736,1737,124,21,7442,1678,20200129,170,38,0,0,0,0
9720,1984,171,47,9336,1894,20200130,213,43,0,0,0,0
11821,2101,243,72,11319,1983,20200131,259,46,0,0,0,0
14411,2590,328,85,13779,2460,20200201,304,45,0,0,0,0
17238,2827,475,147,16402,2623,20200202,361,57,0,0,0,0
20471,3233,632,157,19414,3012,20200203,425,64,0,0,0,0
24363,3892,892,260,22980,3566,20200204,491,66,0,0,0,0
28060,3697,1153,261,26343,3363,20200205,564,73,0,0,0,0
31211,3151,1542,389,29032,2689,20200206,637,73,0,0,0,0
34598,3387,2052,510,31823,2791,20200207,723,86,0,0,0,0
37251,2653,2651,599,33788,1965,20200208,812,89,0,0,0,0
40174,2923,3283,632,35982,2194,20200209,909,97,0,0,0,0
42641,2467,3998,715,37626,1644,20200210,1017,108,0,0,0,0
44656,2015,4742,744,38800,1174,20200211,1114,97,0,0,0,0
60921,16265,5915,1173,53638,14838,20200212,1368,254,0,0,0,0
63932,3011,6728,813,55823,2185,20200213,1381,13,0,0,0,0
66576,2644,8101,1373,56951,1128,20200214,1524,143,0,0,0,0
68584,2008,9425,1324,57493,542,20200215,1666,142,0,0,0,0
70635,2051,10853,1428,58010,517,20200216,1772,106,0,0,0,0
72528,1893,12561,1708,58097,87,20200217,1870,98,0,0,0,0
74279,1751,14387,1826,57886,-211,20200218,2006,136,0,0,0,0
75101,822,16170,1783,56810,-1076,20200219,2121,115,0,0,0,0
75993,892,18279,2109,55475,-1335,20200220,2239,118,0,0,0,0
76392,399,20673,2394,53371,-2104,20200221,2348,109,0,0,0,0
77041,649,22907,2234,51689,-1682,20200222,2445,97,0,0,0,0
77262,221,24757,1850,49910,-1779,20200223,2595,150,0,0,0,0
77779,517,27353,2596,47760,-2150,20200224,2666,71,0,0,0,0
78190,411,29775,2422,45697,-2063,20200225,2718,52,0,0,0,0
78630,440,32531,2756,43352,-2345,20200226,2747,29,0,0,0,0
78959,329,36157,3626,40011,-3341,20200227,2791,44,0,0,0,0
79389,430,39049,2892,37502,-2509,20200228,2838,47,0,0,0,0
79968,579,41675,2626,35420,-2082,20200229,2873,35,0,0,0,0
80174,206,44518,2843,32741,-2679,20200301,2915,42,0,0,0,0
80302,128,47260,2742,30096,-2645,20200302,2946,31,0,0,0,0
80422,120,49914,2654,27524,-2572,20200303,2984,38,0,0,0,0
80565,143,52109,2195,25441,-2083,20200304,3015,31,0,0,20,20
80710,145,53793,1684,23872,-1569,20200305,3045,30,0,0,36,16
80813,103,55477,1684,22263,-1609,20200306,3073,28,0,0,60,24
80859,46,57143,1666,20616,-1647,20200307,3100,27,0,0,63,3
80904,45,58684,1541,19097,-1519,20200308,3123,23,0,0,67,4
80924,20,59982,1298,17802,-1295,20200309,3140,17,0,0,69,2
80955,31,61567,1585,16226,-1576,20200310,3162,22,0,0,79,10
80980,25,62887,1320,14920,-1306,20200311,3173,11,0,0,85,6
81003,23,64216,1329,13607,-1313,20200312,3180,7,0,0,88,3
81021,18,65649,1433,12178,-1429,20200313,3194,14,0,0,95,7
81048,27,67022,1373,10822,-1356,20200314,3204,10,0,0,111,16
81077,29,67863,841,9996,-826,20200315,3218,14,0,0,123,12
81116,39,68799,936,9086,-910,20200316,3231,13,0,0,143,20
81151,35,69725,926,8184,-902,20200317,3242,11,0,0,155,12
81235,84,70547,822,7438,-746,20200318,3250,8,0,0,189,34
81300,65,71284,737,6763,-675,20200319,3253,3,0,0,228,39
81416,116,71876,592,6279,-484,20200320,3261,8,0,0,269,41
81498,82,72382,506,5849,-430,20200321,3267,6,0,0,314,45
81600,102,72841,459,5483,-366,20200322,3276,9,0,0,353,39
81747,147,73299,458,5165,-318,20200323,3283,7,0,0,427,74
81847,100,73791,492,4769,-396,20200324,3287,4,0,0,474,47
81960,113,74196,405,4471,-298,20200325,3293,6,0,0,541,67
82078,118,74737,541,4043,-428,20200326,3298,5,0,0,595,54
82213,135,75122,385,3790,-253,20200327,3301,3,0,0,649,54
82341,128,75600,478,3435,-355,20200328,3306,5,0,0,693,44
82447,106,75937,337,3199,-236,20200329,3311,5,0,0,723,30
82545,98,76225,288,3006,-193,20200330,3314,3,0,0,771,48
82631,86,76415,190,2895,-111,20200331,3321,7,0,0,806,35
82724,93,76610,195,2787,-108,20200401,3327,6,0,0,841,35
82802,78,76785,175,2686,-101,20200402,3331,4,0,0,870,29
82875,73,76984,199,2556,-130,20200403,3335,4,0,0,888,18
82930,55,77210,226,2382,-174,20200404,3338,3,0,0,913,25
83005,75,77348,138,2317,-65,20200405,3340,2,0,0,951,38
83071,66,77450,102,2281,-36,20200406,3340,0,0,0,983,32
83157,86,77586,136,2229,-52,20200407,3342,2,0,0,1042,59
83249,92,77711,125,2194,-35,20200408,3344,2,0,0,1103,61
83305,56,77838,127,2122,-72,20200409,3345,1,0,0,1141,38
83369,64,77935,97,2085,-37,20200410,3349,4,0,0,1183,42
83482,113,78020,85,2113,28,20200411,3349,0,0,0,1280,97
83597,115,78145,125,2101,-12,20200412,3351,2,0,0,1378,98
83696,99,78262,117,2083,-18,20200413,3351,0,0,0,1464,86
83745,49,78389,127,2004,-79,20200414,3352,1,0,0,1500,36
83797,52,78504,115,1941,-63,20200415,3352,0,0,0,1534,34
84149,352,77635,-869,1872,-69,20200416,4642,1290,0,0,1549,15
84180,31,77744,109,1794,-78,20200417,4642,0,0,0,1566,17
84201,21,77825,81,1734,-60,20200418,4642,0,0,0,1575,9
84237,36,77895,70,1700,-34,20200419,4642,0,0,0,1583,8
84250,13,77978,83,1630,-70,20200420,4642,0,0,0,1587,4
84287,37,78042,64,1603,-27,20200421,4642,0,0,0,1610,23
84302,15,78147,105,1513,-90,20200422,4642,0,0,0,1616,6
84311,9,78236,89,1433,-80,20200423,4642,0,0,0,1618,2
84324,13,78362,126,1320,-113,20200424,4642,0,0,0,1629,11
84338,14,78450,88,1246,-74,20200425,4642,0,0,0,1634,5
84341,3,78558,108,1140,-106,20200426,4643,1,0,0,1636,2
84347,6,78674,116,1030,-110,20200427,4643,0,0,0,1639,3
84369,22,78729,55,997,-33,20200428,4643,0,0,0,1660,21
84369,0,78766,37,960,-37,20200429,4643,0,0,0,1660,0
84385,16,78845,79,897,-63,20200430,4643,0,0,0,1670,10
84388,3,78905,60,840,-57,20200501,4643,0,0,0,1671,1
84393,5,78939,34,811,-29,20200502,4643,0,0,0,1672,1
84400,7,79016,77,741,-70,20200503,4643,0,0,0,1675,3
84404,4,79126,110,635,-106,20200504,4643,0,0,0,1676,1
84404,0,79203,77,558,-77,20200505,4643,0,0,0,1676,0
84408,4,79249,46,516,-42,20200506,4643,0,0,0,1678,2
84415,7,79324,75,448,-68,20200507,4643,0,0,0,1680,2
84416,1,79348,24,425,-23,20200508,4643,0,0,0,1680,0
84431,15,79491,143,297,-128,20200509,4643,0,0,0,1681,1
84450,19,79533,42,274,-23,20200510,4643,0,0,0,1690,9
84451,1,79566,33,241,-33,20200511,4644,1,0,0,1691,1
84458,7,79594,28,220,-21,20200512,4644,0,0,0,1692,1
84464,6,79621,27,199,-21,20200513,4644,0,0,0,1692,0
84469,5,79644,23,181,-18,20200514,4644,0,0,0,1692,0
84478,9,79668,24,166,-15,20200515,4644,0,0,0,1698,6
84484,6,79682,14,157,-9,20200516,4645,1,0,0,1700,2
84494,10,79701,19,148,-9,20200517,4645,0,0,0,1704,4
84500,6,79708,7,147,-1,20200518,4645,0,0,0,1707,3
84505,5,79715,7,145,-2,20200519,4645,0,0,0,1708,1
84507,2,79722,7,140,-5,20200520,4645,0,0,0,1709,1
84520,13,79736,14,139,-1,20200521,4645,0,0,0,1711,2
84522,2,79738,2,139,0,20200522,4645,0,0,0,1711,0
84525,3,79746,8,134,-5,20200523,4645,0,0,0,1713,2
84536,11,79757,11,134,0,20200524,4645,0,0,0,1724,11
84543,7,79767,10,131,-3,20200525,4645,0,0,0,1731,7
84544,1,79774,7,125,-6,20200526,4645,0,0,0,1732,1
84547,3,79786,12,116,-9,20200527,4645,0,0,0,1734,2
84547,0,79791,5,111,-5,20200528,4645,0,0,0,1734,0
84561,14,79800,9,116,5,20200529,4645,0,0,0,1734,0
84570,9,79807,7,118,2,20200530,4645,0,0,0,1740,6
84588,18,79812,5,131,13,20200531,4645,0,0,0,1756,16
84597,9,79824,12,128,-3,20200601,4645,0,0,0,1761,5
84604,7,79826,2,133,5,20200602,4645,0,0,0,1762,1
84603,-1,79831,5,127,-6,20200603,4645,0,0,0,1763,1
84614,11,79842,11,127,0,20200604,4645,0,0,0,1768,5
84617,3,79848,6,124,-3,20200605,4645,0,0,0,1768,0
84625,8,79853,5,127,3,20200606,4645,0,0,0,1771,3
84634,9,79865,12,124,-3,20200607,4645,0,0,0,1780,9
84638,4,79875,10,118,-6,20200608,4645,0,0,0,1783,3
84641,3,79883,8,113,-5,20200609,4645,0,0,0,1786,3
84652,11,79888,5,119,6,20200610,4645,0,0,0,1797,11
84659,7,79896,8,118,-1,20200611,4645,0,0,0,1803,6
84671,12,79903,7,123,5,20200612,4645,0,0,0,1808,5
84729,58,79906,3,178,55,20200613,4645,0,0,0,1827,19
84778,49,79913,7,220,42,20200614,4645,0,0,0,1837,10
84823,45,79922,9,256,36,20200615,4645,0,0,0,1845,8
84867,44,79926,4,296,40,20200616,4645,0,0,0,1856,11
84903,36,79944,18,314,18,20200617,4645,0,0,0,1860,4
84940,37,79949,5,346,32,20200618,4645,0,0,0,1864,4
84970,30,79963,14,362,16,20200619,4645,0,0,0,1868,4
84997,27,79969,6,382,20,20200620,4646,1,0,0,1869,1
85018,21,79969,0,403,21,20200621,4646,0,0,0,1869,0
85070,52,79983,14,441,38,20200622,4646,0,0,0,1885,16
85098,28,79991,8,460,19,20200623,4647,1,0,0,1888,3
85119,21,79999,8,473,13,20200624,4647,0,0,0,1893,5
85148,29,80007,8,493,20,20200625,4648,1,0,0,1895,2
85172,24,80015,8,509,16,20200626,4648,0,0,0,1899,4
85190,18,80026,11,516,7,20200627,4648,0,0,0,1902,3
85204,14,80044,18,512,-4,20200628,4648,0,0,0,1907,5
85227,23,80054,10,525,13,20200629,4648,0,0,0,1918,11
