省份,城市,现有确诊,累计确诊,累计治愈,累计死亡
台湾,台湾,4365,18958,13742,851
香港,香港,920,14013,12880,213
河南省,河南省,508,2657,2127,22
河南省,安阳,467,522,55,0
河南省,许昌,366,405,38,1
河南省,郑州,161,488,322,5
河南省,周口,25,101,75,1
河南省,境外输入,15,149,134,0
河南省,商丘,12,103,88,3
河南省,洛阳,10,41,30,1
河南省,开封,7,33,26,0
河南省,驻马店,4,143,139,0
河南省,信阳,3,277,272,2
河南省,平顶山,1,59,57,1
河南省,三门峡,1,8,6,1
河南省,南阳,0,156,153,3
河南省,新乡,0,57,54,3
河南省,漯河,0,36,36,0
河南省,焦作,0,32,31,1
河南省,鹤壁,0,19,19,0
河南省,濮阳,0,17,17,0
河南省,济源,0,5,5,0
河南省,待明确地区,-564,6,570,0
浙江省,浙江省,369,2236,1866,1
浙江省,杭州,143,328,185,0
浙江省,宁波,110,269,159,0
浙江省,境外输入,101,369,268,0
浙江省,绍兴,37,429,392,0
浙江省,金华,2,57,55,0
浙江省,温州,0,504,503,1
浙江省,台州,0,147,147,0
浙江省,嘉兴,0,46,46,0
浙江省,省十里丰监狱,0,36,36,0
浙江省,丽水,0,17,17,0
浙江省,衢州,0,14,14,0
浙江省,湖州,0,10,10,0
浙江省,舟山,0,10,10,0
浙江省,待明确地区,-24,0,24,0
上海市,上海市,260,3799,3532,7
上海市,境外输入,258,3407,3149,0
上海市,奉贤区,2,11,9,0
上海市,外地来沪,0,113,112,1
上海市,浦东新区,0,82,81,1
上海市,宝山区,0,27,26,1
上海市,黄浦区,0,22,22,0
上海市,闵行区,0,19,19,0
上海市,徐汇区,0,18,17,1
上海市,静安区,0,17,16,1
上海市,松江区,0,16,16,0
上海市,长宁区,0,14,14,0
上海市,普陀区,0,12,12,0
上海市,杨浦区,0,9,9,0
上海市,嘉定区,0,9,7,2
上海市,虹口区,0,7,7,0
上海市,青浦区,0,7,7,0
上海市,金山区,0,4,4,0
上海市,崇明区,0,4,4,0
上海市,境外来沪,0,1,1,0
广东省,广东省,165,3798,3625,8
广东省,广州,82,2080,1997,1
广东省,深圳,34,663,626,3
广东省,珠海,26,159,132,1
广东省,佛山,23,294,271,0
广东省,东莞,8,172,163,1
广东省,云浮,5,5,0,0
广东省,中山,3,76,73,0
广东省,惠州,3,66,63,0
广东省,湛江,2,43,41,0
广东省,梅州,2,19,17,0
广东省,河源,1,6,5,0
广东省,肇庆,0,47,46,1
广东省,江门,0,40,40,0
广东省,阳江,0,28,28,0
广东省,汕头,0,26,26,0
广东省,清远,0,23,23,0
广东省,茂名,0,17,17,0
广东省,揭阳,0,11,11,0
广东省,韶关,0,10,9,1
广东省,潮州,0,7,7,0
广东省,汕尾,0,6,6,0
广东省,待明确地区,-24,0,24,0
广西壮族自治区,广西壮族自治区,140,716,574,2
广西壮族自治区,境外输入,143,442,299,0
广西壮族自治区,防城港,11,39,28,0
广西壮族自治区,崇左,1,1,0,0
广西壮族自治区,南宁,0,56,56,0
广西壮族自治区,北海,0,44,43,1
广西壮族自治区,桂林,0,32,32,0
广西壮族自治区,河池,0,28,27,1
广西壮族自治区,柳州,0,24,24,0
广西壮族自治区,玉林,0,11,11,0
广西壮族自治区,来宾,0,11,11,0
广西壮族自治区,钦州,0,8,8,0
广西壮族自治区,贵港,0,8,8,0
广西壮族自治区,梧州,0,5,5,0
广西壮族自治区,贺州,0,4,4,0
广西壮族自治区,百色,0,3,3,0
广西壮族自治区,待明确地区,-15,0,15,0
北京市,北京市,107,1357,1241,9
北京市,境外输入,127,368,241,0
北京市,丰台区,72,345,273,0
北京市,昌平区,36,70,34,0
北京市,海淀区,14,96,82,0
北京市,朝阳区,14,94,80,0
北京市,房山区,11,31,20,0
北京市,大兴区,9,143,134,0
北京市,西城区,3,62,59,0
北京市,通州区,1,21,20,0
北京市,经济开发区,1,1,0,0
北京市,顺义区,0,45,45,0
北京市,外地来京,0,25,25,0
北京市,东城区,0,19,19,0
北京市,石景山区,0,15,15,0
北京市,怀柔区,0,8,8,0
北京市,密云区,0,7,7,0
北京市,门头沟区,0,5,5,0
北京市,延庆区,0,1,1,0
北京市,待明确地区,-181,1,173,9
天津市,天津市,72,1076,1001,3
天津市,津南区,342,344,2,0
天津市,河北区,38,50,12,0
天津市,西青区,12,17,5,0
天津市,滨海新区,9,22,13,0
天津市,境外输入,8,510,502,0
天津市,河西区,6,10,4,0
天津市,红桥区,5,7,2,0
天津市,河东区,4,19,14,1
天津市,南开区,1,7,6,0
天津市,东丽区,1,5,4,0
天津市,宝坻区,0,60,58,2
天津市,北辰区,0,7,7,0
天津市,和平区,0,6,6,0
天津市,外地来津,0,6,6,0
天津市,宁河区,0,4,4,0
天津市,武清区,0,2,2,0
天津市,待明确地区,-354,0,354,0
云南省,云南省,49,1882,1831,2
云南省,境外输入,41,1409,1368,0
云南省,德宏州,35,294,259,0
云南省,昆明,5,58,53,0
云南省,西双版纳,5,20,14,1
云南省,昭通,0,25,25,0
云南省,玉溪,0,14,13,1
云南省,曲靖,0,13,13,0
云南省,大理州,0,13,13,0
云南省,红河州,0,9,9,0
云南省,保山,0,9,9,0
云南省,丽江,0,7,7,0
云南省,普洱,0,4,4,0
云南省,楚雄州,0,4,4,0
云南省,文山州,0,2,2,0
云南省,临沧,0,1,1,0
云南省,待明确地区,-37,0,37,0
福建省,福建省,44,1456,1411,1
福建省,境外输入人员,44,687,643,0
福建省,厦门,0,276,276,0
福建省,莆田,0,261,261,0
福建省,福州,0,72,71,1
福建省,泉州,0,71,71,0
福建省,宁德,0,26,26,0
福建省,漳州,0,23,23,0
福建省,南平,0,20,20,0
福建省,三明,0,14,14,0
福建省,龙岩,0,6,6,0
黑龙江省,黑龙江省,29,2064,2022,13
黑龙江省,牡丹江,29,65,36,0
黑龙江省,哈尔滨,0,546,542,4
黑龙江省,绥化,0,537,533,4
黑龙江省,境外输入,0,406,406,0
黑龙江省,黑河,0,295,295,0
黑龙江省,双鸭山,0,52,49,3
黑龙江省,鸡西,0,46,46,0
黑龙江省,齐齐哈尔,0,45,44,1
黑龙江省,大庆,0,29,28,1
黑龙江省,七台河,0,17,17,0
黑龙江省,佳木斯,0,15,15,0
黑龙江省,鹤岗,0,5,5,0
黑龙江省,大兴安岭,0,3,3,0
黑龙江省,待明确,0,2,2,0
黑龙江省,伊春,0,1,1,0
四川省,四川省,28,1374,1343,3
四川省,成都,28,967,936,3
四川省,甘孜州,0,78,78,0
四川省,达州,0,42,42,0
四川省,南充,0,40,40,0
四川省,广安,0,30,30,0
四川省,泸州,0,25,25,0
四川省,巴中,0,24,24,0
四川省,绵阳,0,23,23,0
四川省,内江,0,22,22,0
四川省,德阳,0,18,18,0
四川省,遂宁,0,17,17,0
四川省,攀枝花,0,16,16,0
四川省,凉山州,0,14,14,0
四川省,宜宾,0,13,13,0
四川省,自贡,0,10,10,0
四川省,广元,0,10,10,0
四川省,眉山,0,8,8,0
四川省,雅安,0,8,8,0
四川省,资阳,0,5,5,0
四川省,乐山,0,3,3,0
四川省,阿坝州,0,1,1,0
山东省,山东省,25,1075,1043,7
山东省,境外输入,23,270,247,0
山东省,济南,2,49,47,0
山东省,济宁,0,260,260,0
山东省,青岛,0,80,79,1
山东省,烟台,0,58,58,0
山东省,临沂,0,49,49,0
山东省,潍坊,0,44,44,0
山东省,威海,0,38,37,1
山东省,聊城,0,38,38,0
山东省,德州,0,37,35,2
山东省,泰安,0,35,33,2
山东省,淄博,0,30,29,1
山东省,日照,0,30,30,0
山东省,枣庄,0,24,24,0
山东省,菏泽,0,18,18,0
山东省,滨州,0,15,15,0
河北省,河北省,16,1474,1451,7
河北省,雄安新区,5,18,13,0
河北省,衡水,5,13,8,0
河北省,廊坊,4,37,33,0
河北省,保定,2,40,38,0
河北省,石家庄,0,1034,1033,1
河北省,邢台,0,96,95,1
河北省,唐山,0,58,57,1
河北省,沧州,0,49,46,3
河北省,张家口,0,43,43,0
河北省,境外输入,0,37,37,0
河北省,邯郸,0,32,32,0
河北省,秦皇岛,0,10,9,1
河北省,承德,0,7,7,0
湖南省,湖南省,12,1230,1214,4
湖南省,境外输入,12,98,86,0
湖南省,长沙,0,247,245,2
湖南省,岳阳,0,156,155,1
湖南省,株洲,0,110,110,0
湖南省,邵阳,0,102,101,1
湖南省,常德,0,82,82,0
湖南省,张家界,0,77,77,0
湖南省,娄底,0,76,76,0
湖南省,益阳,0,63,63,0
湖南省,衡阳,0,48,48,0
湖南省,永州,0,44,44,0
湖南省,怀化,0,40,40,0
湖南省,郴州,0,39,39,0
湖南省,湘潭,0,38,38,0
湖南省,湘西自治州,0,10,10,0
陕西省,陕西省,11,2826,2812,3
陕西省,西安,1062,2187,1122,3
陕西省,咸阳,15,32,17,0
陕西省,延安,13,21,8,0
陕西省,渭南,1,18,17,0
陕西省,境外输入,0,483,483,0
陕西省,安康,0,26,26,0
陕西省,汉中,0,26,26,0
陕西省,宝鸡,0,13,13,0
陕西省,铜川,0,8,8,0
陕西省,商洛,0,7,7,0
陕西省,榆林,0,3,3,0
陕西省,韩城,0,1,1,0
陕西省,杨凌,0,1,1,0
陕西省,待明确地区,-1080,0,1080,0
新疆维吾尔自治区,新疆维吾尔自治区,11,996,982,3
新疆维吾尔自治区,伊犁州,8,31,23,0
新疆维吾尔自治区,兵团第四师,3,13,9,1
新疆维吾尔自治区,乌鲁木齐,0,845,845,0
新疆维吾尔自治区,喀什地区,0,80,80,0
新疆维吾尔自治区,昌吉州,0,5,5,0
新疆维吾尔自治区,兵团第八师石河子市,0,4,3,1
新疆维吾尔自治区,兵团第九师,0,4,3,1
新疆维吾尔自治区,吐鲁番,0,3,3,0
新疆维吾尔自治区,巴州,0,3,3,0
新疆维吾尔自治区,兵团第十二师,0,3,3,0
新疆维吾尔自治区,兵团第六师五家渠市,0,2,2,0
新疆维吾尔自治区,兵团第七师,0,1,1,0
新疆维吾尔自治区,阿克苏地区,0,1,1,0
新疆维吾尔自治区,待明确地区,0,1,1,0
辽宁省,辽宁省,5,812,805,2
辽宁省,境外输入,4,173,169,0
辽宁省,沈阳,1,79,78,0
辽宁省,大连,0,470,470,0
辽宁省,锦州,0,12,12,0
辽宁省,葫芦岛,0,12,11,1
辽宁省,丹东,0,11,11,0
辽宁省,盘锦,0,11,11,0
辽宁省,营口,0,11,11,0
辽宁省,阜新,0,8,8,0
辽宁省,铁岭,0,8,8,0
辽宁省,朝阳,0,6,5,1
辽宁省,鞍山,0,4,4,0
辽宁省,本溪,0,3,3,0
辽宁省,辽阳,0,3,3,0
辽宁省,抚顺,0,1,1,0
吉林省,吉林省,3,592,586,3
吉林省,长春,3,170,167,0
吉林省,通化,0,313,312,1
吉林省,吉林市,0,62,61,1
吉林省,四平,0,17,16,1
吉林省,延边,0,8,8,0
吉林省,辽源,0,7,7,0
吉林省,公主岭,0,6,6,0
吉林省,松原,0,6,6,0
吉林省,梅河口,0,2,2,0
吉林省,白城,0,1,1,0
山西省,山西省,3,268,265,0
山西省,大同,2,14,12,0
山西省,运城,1,20,19,0
山西省,境外输入,0,127,127,0
山西省,晋中,0,41,41,0
山西省,太原,0,21,21,0
山西省,晋城,0,10,10,0
山西省,长治,0,8,8,0
山西省,朔州,0,8,8,0
山西省,忻州,0,7,7,0
山西省,吕梁,0,6,6,0
山西省,阳泉,0,4,4,0
山西省,临汾,0,2,2,0
重庆市,重庆市,2,613,605,6
重庆市,境外输入,2,29,27,0
重庆市,万州区,0,118,114,4
重庆市,江北区,0,28,28,0
重庆市,云阳县,0,25,25,0
重庆市,长寿区,0,24,24,0
重庆市,合川区,0,23,23,0
重庆市,綦江区,0,23,23,0
重庆市,奉节县,0,22,22,0
重庆市,九龙坡区,0,22,21,1
重庆市,开州区,0,21,20,1
重庆市,忠县,0,21,21,0
重庆市,渝中区,0,20,20,0
重庆市,垫江县,0,20,20,0
重庆市,潼南区,0,18,18,0
重庆市,两江新区,0,18,18,0
重庆市,渝北区,0,17,17,0
重庆市,南岸区,0,15,15,0
重庆市,石柱县,0,15,15,0
重庆市,大足区,0,14,14,0
重庆市,巫溪县,0,14,14,0
重庆市,铜梁区,0,10,10,0
重庆市,丰都县,0,10,10,0
重庆市,巫山县,0,10,10,0
重庆市,沙坪坝区,0,10,10,0
重庆市,璧山区,0,9,9,0
重庆市,荣昌区,0,9,9,0
重庆市,大渡口区,0,7,7,0
重庆市,巴南区,0,7,7,0
重庆市,江津区,0,6,6,0
重庆市,涪陵区,0,5,5,0
重庆市,永川区,0,5,5,0
重庆市,梁平区,0,4,4,0
重庆市,高新区,0,4,4,0
重庆市,黔江区,0,2,2,0
重庆市,城口县,0,2,2,0
重庆市,彭水县,0,2,2,0
重庆市,武隆区,0,1,1,0
重庆市,秀山县,0,1,1,0
重庆市,酉阳县,0,1,1,0
重庆市,万盛经开区,0,1,1,0
湖北省,湖北省,1,68320,63807,4512
湖北省,境外输入,1,92,91,0
湖北省,武汉,0,50380,46511,3869
湖北省,孝感,0,3518,3389,129
湖北省,黄冈,0,2912,2787,125
湖北省,荆州,0,1582,1530,52
湖北省,鄂州,0,1395,1336,59
湖北省,随州,0,1307,1262,45
湖北省,襄阳,0,1175,1135,40
湖北省,黄石,0,1015,976,39
湖北省,荆门,0,971,930,41
湖北省,宜昌,0,931,894,37
湖北省,咸宁,0,836,821,15
湖北省,十堰,0,672,664,8
湖北省,仙桃,0,575,553,22
湖北省,天门,0,498,483,15
湖北省,恩施州,0,252,245,7
湖北省,潜江,0,198,189,9
湖北省,神农架林区,0,11,11,0
江苏省,江苏省,1,1630,1629,0
江苏省,境外输入,1,173,172,0
江苏省,扬州,0,593,593,0
江苏省,南京,0,331,331,0
江苏省,苏州,0,87,87,0
江苏省,徐州,0,79,79,0
江苏省,淮安,0,78,78,0
江苏省,无锡,0,55,55,0
江苏省,常州,0,54,54,0
江苏省,连云港,0,48,48,0
江苏省,南通,0,40,40,0
江苏省,泰州,0,37,37,0
江苏省,盐城,0,27,27,0
江苏省,宿迁,0,16,16,0
江苏省,镇江,0,12,12,0
贵州省,贵州省,1,161,158,2
贵州省,安顺,1,5,4,0
贵州省,遵义,0,44,44,0
贵州省,贵阳,0,36,35,1
贵州省,毕节,0,23,23,0
贵州省,黔南州,0,17,17,0
贵州省,铜仁,0,11,11,0
贵州省,六盘水,0,10,9,1
贵州省,黔东南州,0,10,10,0
贵州省,黔西南州,0,4,4,0
贵州省,境外输入,0,1,1,0
内蒙古自治区,内蒙古自治区,0,1191,1190,1
内蒙古自治区,呼伦贝尔,0,596,596,0
内蒙古自治区,境外输入人员,0,336,336,0
内蒙古自治区,阿拉善盟,0,165,165,0
内蒙古自治区,锡林郭勒盟,0,29,29,0
内蒙古自治区,鄂尔多斯,0,12,12,0
内蒙古自治区,包头,0,11,11,0
