nowSevere,importedCase,noInfectH5,nowConfirm,date,localConfirm,deadRate,healRate,localConfirmH5,local_acc_confirm,suspect,dead,heal,confirm,y,noInfect,dateId
12,10316,67,3281,12.06,694,4.4,93.0,694,99326,3,5697,119524,128502,2021,471,2021-12-06
22,10346,66,3331,12.07,716,4.4,93.0,716,99404,4,5697,119574,128602,2021,465,2021-12-07
24,10369,78,3391,12.08,740,4.4,92.9,740,99454,2,5697,119602,128690,2021,484,2021-12-08
29,10395,98,3445,12.09,758,4.4,92.9,758,99535,1,5697,119638,128776,2021,508,2021-12-09
28,10431,86,3513,12.10,785,4.4,92.9,785,99610,1,5697,119674,128884,2021,489,2021-12-10
28,10457,73,3569,12.11,892,4.4,92.8,892,99752,2,5697,119704,128970,2021,474,2021-12-11
27,10478,46,3635,12.12,900,4.4,92.8,900,99824,2,5697,119750,129082,2021,444,2021-12-12
22,10503,46,3687,12.13,935,4.4,92.7,935,99878,1,5697,119781,129165,2021,445,2021-12-13
17,10520,48,3724,12.14,985,4.4,92.7,985,99966,1,5697,119826,129247,2021,452,2021-12-14
14,10528,45,3777,12.15,1027,4.4,92.7,1027,100033,1,5698,119859,129332,2021,459,2021-12-15
10,10548,45,3849,12.16,2106,4.4,92.6,2106,100150,4,5698,119883,129430,2021,471,2021-12-16
6,10584,46,3963,12.17,1130,4.4,92.5,1130,100227,6,5698,119916,129577,2021,471,2021-12-17
6,10623,48,4016,12.18,1118,4.4,92.5,1118,100291,5,5698,119964,129678,2021,496,2021-12-18
5,10688,48,4078,12.19,1079,4.4,92.5,1079,100387,4,5699,120017,129794,2021,511,2021-12-19
5,10712,40,4128,12.20,1069,4.4,92.4,1069,100467,1,5699,120069,129893,2021,505,2021-12-20
7,10732,38,4143,12.21,1126,4.4,92.4,1126,100550,3,5699,120146,129988,2021,501,2021-12-21
10,10761,38,4252,12.22,1173,4.4,92.4,1173,100622,3,5699,120188,130139,2021,496,2021-12-22
9,10793,36,4263,12.23,1180,4.4,92.3,1180,100739,8,5699,120249,130211,2021,497,2021-12-23
9,10846,40,4315,12.24,1187,4.4,92.3,1187,100873,10,5699,120362,130376,2021,492,2021-12-24
9,10894,38,4488,12.25,1293,4.4,92.2,1293,101080,3,5699,120438,130625,2021,504,2021-12-25
13,10932,27,4668,12.26,1385,4.4,92.1,1385,101277,6,5699,120526,130858,2021,495,2021-12-26
12,10959,29,4811,12.27,1540,4.3,92.0,1540,101486,3,5699,120583,131093,2021,496,2021-12-27
14,11004,30,4976,12.28,1664,4.3,91.9,1664,101683,3,5699,120640,131315,2021,496,2021-12-28
15,11055,30,5150,12.29,1793,4.3,91.8,1793,101890,2,5699,120701,131550,2021,507,2021-12-29
15,11083,28,5333,12.30,1933,4.3,91.6,1933,102083,2,5699,120748,131780,2021,512,2021-12-30
15,11139,29,5555,12.31,2091,4.3,91.5,2091,102321,1,5699,120817,132071,2021,514,2021-12-31
16,11199,31,5718,01.01,2194,4.3,91.4,2194,102508,1,5699,120884,132301,2022,550,2022-01-01
22,11259,33,5844,01.02,2275,4.3,91.3,2275,102673,0,5699,120936,132486,2022,562,2022-01-02
30,11326,48,6006,01.03,2366,4.3,91.2,2366,102845,3,5699,120987,132692,2022,588,2022-01-03
31,11380,67,6079,01.04,2387,4.3,91.1,2387,102947,1,5699,121052,132830,2022,632,2022-01-04
30,11433,46,6112,01.05,2343,4.3,91.1,2343,103121,2,5699,121252,133063,2022,629,2022-01-05
30,11491,28,6251,01.06,2392,4.3,91.0,2392,103306,7,5699,121354,133304,2022,632,2022-01-06
27,11555,33,6336,01.07,2366,4.3,91.0,2366,103458,1,5699,121505,133540,2022,661,2022-01-07
