address,addqz,xyqz,fxqy
广东深圳,4,28,部分中风险
浙江杭州,2,143,部分中高风险
北京大兴,0,10,部分中风险
北京丰台,0,72,部分中高风险
天津河北区,0,34,部分中高风险
天津滨海新区,0,9,全部低风险
广东云浮,0,5,全部低风险
河北衡水,0,5,全部低风险
天津红桥区,0,5,全部低风险
北京朝阳,0,13,部分中高风险
黑龙江牡丹江,0,29,部分中风险
河南安阳,0,281,部分中高风险
天津津南区,0,38,部分中风险
新疆伊犁州,0,8,部分中风险
北京西城,0,3,全部低风险
山西大同,0,2,全部低风险
河北保定,0,2,全部低风险
河北廊坊,0,4,全部低风险
上海奉贤,0,2,部分中风险
辽宁沈阳,0,1,全部低风险
云南西双版纳州,0,5,部分中风险
河北雄安新区,0,5,部分中风险
广东珠海,0,35,全部低风险
北京房山,0,11,部分中风险
山东济南,0,2,全部低风险
北京海淀,0,14,全部低风险
陕西西安,0,11,全部低风险
河南郑州,0,154,全部低风险
河南许昌,0,346,全部低风险
天津西青区,0,12,全部低风险
广东中山,0,3,部分中风险
天津河西区,0,6,全部低风险
河南商丘,0,2,全部低风险
浙江宁波,0,110,全部低风险
河南洛阳,0,10,部分中风险
河南信阳,0,3,全部低风险
浙江金华,0,2,部分中风险
河南周口,0,24,全部低风险
陕西延安,0,13,全部低风险
陕西咸阳,0,5,全部低风险
广西防城港,0,2,全部低风险
浙江绍兴,0,10,全部低风险
云南昆明,0,5,全部低风险
广东东莞,0,26,全部低风险
四川成都,0,14,全部低风险
广东广州,0,3,全部低风险
云南德宏州,0,6,全部低风险
北京昌平,0,37,全部低风险
陕西渭南,0,1,全部低风险
北京通州,0,1,全部低风险
河南平顶山,0,1,全部低风险
山西运城,0,1,全部低风险
广西崇左,0,1,全部低风险
河南三门峡,0,1,全部低风险
